Major,Job Title,Company,Academic Division,Degree Level,State,Graduation Year,Major Cluster,Major Subcluster,Industry Group,Job Function
Marketing Management,Associate Business Manager,Acosta,Opus College of Business,Bachelor's Degree,Florida,2024,BUSINESS & MANAGEMENT,Marketing & Communication,Professional Services & Consulting,Management & Leadership
Psychology,Direct Care,ACR Homes,Opus College of Business,Bachelor's Degree,Minnesota,2024,SOCIAL SCIENCES & HUMANITIES,Social Sciences,Healthcare & Medical,Healthcare & Clinical
Mechanical Engineering,Engineering Technician,Actalent Services,Opus College of Business,Bachelor's Degree,Minnesota,2024,ENGINEERING & TECHNOLOGY,Engineering Disciplines,Professional Services & Consulting,Engineering
Human Resources Management,Recruiter,Actalent Services,Opus College of Business,Bachelor's Degree,Minnesota,2024,BUSINESS & MANAGEMENT,Specialized Business,Professional Services & Consulting,Human Resources
Catholic Studies,Administrative Coordinator,The Saint Paul Seminary,College of Arts & Sciences,Bachelor's Degree,Minnesota,2024,"ARTS, LANGUAGES & THEOLOGY",Arts & Theology,Education & Academia,Administrative & Support
Mechanical Engineering,Thin Film Engineer,Advanced Research Corporation,College of Arts & Sciences,Bachelor's Degree,Minnesota,2024,ENGINEERING & TECHNOLOGY,Engineering Disciplines,Technology & Software,Engineering
Entrepreneurship,Project Analyst,Agilitihealth,School of Engineering,Bachelor's Degree,Minnesota,2024,BUSINESS & MANAGEMENT,General Business,Healthcare & Medical,Healthcare & Clinical
Financial Management,Financial analyst,Agilitihealth,College of Arts & Sciences,Bachelor's Degree,Minnesota,2024,BUSINESS & MANAGEMENT,Finance & Accounting,Healthcare & Medical,Finance & Accounting
Financial Management,Cash Management Specialist,AgriBank,Opus College of Business,Bachelor's Degree,Minnesota,2024,BUSINESS & MANAGEMENT,Finance & Accounting,Financial Services & Insurance,Finance & Accounting
COJO Creative Multimedia,Rep,AHS,College of Arts & Sciences,Bachelor's Degree,,2024,COMMUNICATION & MEDIA,Journalism & Media,Healthcare & Medical,Sales & Business Development
Economics - Public Policy,Officer,Air Force,School of Engineering,Bachelor's Degree,Minnesota,2024,SOCIAL SCIENCES & HUMANITIES,Economics,Government & Public Service,Government & Public Service
Psychology,Force Support,Air Force,College of Arts & Sciences,Bachelor's Degree,Minnesota,2024,SOCIAL SCIENCES & HUMANITIES,Social Sciences,Government & Public Service,Government & Public Service
Criminal Justice,Aircraft Maintenance,Air Force,College of Arts & Sciences,Bachelor's Degree,Minnesota,2024,SOCIAL SCIENCES & HUMANITIES,Social Sciences,Government & Public Service,Government & Public Service
Mechanical Engineering,Space Operations Officer,Air Force Reserve,College of Arts & Sciences,Bachelor's Degree,Wisconsin,2024,ENGINEERING & TECHNOLOGY,Engineering Disciplines,Government & Public Service,Operations & Supply Chain
Mechanical Engineering,Metrology engineer,AIS,Opus College of Business,Bachelor's Degree,Minnesota,2024,ENGINEERING & TECHNOLOGY,Engineering Disciplines,Professional Services & Consulting,Engineering
Financial Management,District Manager,ALDI,College of Health,Bachelor's Degree,Minnesota,2024,BUSINESS & MANAGEMENT,Finance & Accounting,Retail & Consumer Products,Management & Leadership
Financial Management,Sales Representative,Aleran,School of Engineering,Bachelor's Degree,Minnesota,2024,BUSINESS & MANAGEMENT,Finance & Accounting,Technology & Software,Sales & Business Development
Gen Business Mgmt,Sales Associate,Align Surgical Supply LLC,Opus College of Business,Bachelor's Degree,Minnesota,2024,BUSINESS & MANAGEMENT,General Business,Healthcare & Medical,Sales & Business Development
Mechanical Engineering,Traffic Engineer Assistant,Alliant Engineering,College of Arts & Sciences,Bachelor's Degree,Minnesota,2024,ENGINEERING & TECHNOLOGY,Engineering Disciplines,"Construction, Engineering & Real Estate",Engineering
Gen Business Mgmt,FMO Distribution Intern,Allianz,Opus College of Business,Bachelor's Degree,Minnesota,2024,BUSINESS & MANAGEMENT,General Business,Financial Services & Insurance,Operations & Supply Chain
Leadership & Management,Business Analyst,Allianz Life,Opus College of Business,Bachelor's Degree,Minnesota,2024,BUSINESS & MANAGEMENT,General Management,Financial Services & Insurance,Finance & Accounting
Public Health,Community Engagement and Health Improvement Intern,Allina Health,College of Arts & Sciences,Bachelor's Degree,Minnesota,2024,NATURAL & HEALTH SCIENCES,Health & Wellness,Healthcare & Medical,Nonprofit & Social Services
Biochemistry,Emergency Medical Technician,Allina Health,School of Engineering,Bachelor's Degree,Minnesota,2024,NATURAL & HEALTH SCIENCES,Biological Sciences,Healthcare & Medical,Healthcare & Clinical
Biology,Emergency Department Technician,Allina Health,Opus College of Business,Bachelor's Degree,Minnesota,2024,NATURAL & HEALTH SCIENCES,Biological Sciences,Healthcare & Medical,Engineering
Social Work,Direct Care Professional,Always Best Care Senior Services,School of Engineering,Bachelor's Degree,Minnesota,2024,EDUCATION & SOCIAL SERVICES,Social Work,Government & Public Service,Healthcare & Clinical
Operations Management,Operation Manager,Amazon,Opus College of Business,Bachelor's Degree,Wisconsin,2024,BUSINESS & MANAGEMENT,Operations & Analytics,Technology & Software,Management & Leadership
Gen Business Mgmt,Area Operations Manager,Amazon,College of Arts & Sciences,Bachelor's Degree,Minnesota,2024,BUSINESS & MANAGEMENT,General Business,Technology & Software,Operations & Supply Chain
Computer Science,Software Consultant,Ameren,College of Health,Bachelor's Degree,Minnesota,2024,ENGINEERING & TECHNOLOGY,Computer Science & IT,Energy & Utilities,Software & IT
Environmental Science,Construction Materials Technician,American Engineering Testing,College of Health,Bachelor's Degree,Minnesota,2024,NATURAL & HEALTH SCIENCES,Environmental Sciences,"Construction, Engineering & Real Estate",Engineering
Political Science,CollegePoint Coach,AmeriCorps,School of Engineering,Bachelor's Degree,Minnesota,2024,SOCIAL SCIENCES & HUMANITIES,Social Sciences,Government & Public Service,Government & Public Service
Neuroscience,College Coach,Americorps,Opus College of Business,Bachelor's Degree,Minnesota,2024,NATURAL & HEALTH SCIENCES,Biological Sciences,Government & Public Service,Government & Public Service
Mechanical Engineering,Contingent Manufacturing Engineer,Abbott Laboratories,Opus College of Business,Bachelor's Degree,Illinois,2024,ENGINEERING & TECHNOLOGY,Engineering Disciplines,Healthcare & Medical,Engineering
Economics - Mathematical,Analytics LDP Associate,Ameriprise Financial,Opus College of Business,Bachelor's Degree,Minnesota,2024,SOCIAL SCIENCES & HUMANITIES,Economics,Financial Services & Insurance,Data & Analytics
Computer Science,Leadership development Program - Mobile app team,Ameriprise Financial,Opus College of Business,Bachelor's Degree,Minnesota,2024,ENGINEERING & TECHNOLOGY,Computer Science & IT,Financial Services & Insurance,Finance & Accounting
Economics,Fund Accountant,"Ameriprise Financial Services, LLC",Opus College of Business,Bachelor's Degree,Minnesota,2024,BUSINESS & MANAGEMENT,Economics,Financial Services & Insurance,Finance & Accounting
Financial Management,Financial Advisor in Training,"Ameriprise Financial Services, LLC",School of Engineering,Bachelor's Degree,Minnesota,2024,BUSINESS & MANAGEMENT,Finance & Accounting,Financial Services & Insurance,Finance & Accounting
Financial Management,Paraplanner,"Ameriprise Financial Services, LLC",Opus College of Business,Bachelor's Degree,Minnesota,2024,BUSINESS & MANAGEMENT,Finance & Accounting,Financial Services & Insurance,Finance & Accounting
Operations Management,Inside sales representative,Andersen,Opus College of Business,Bachelor's Degree,Minnesota,2024,BUSINESS & MANAGEMENT,Operations & Analytics,Manufacturing & Industrial,Sales & Business Development
Operations Management,Supply chain analyst,Andersen Corporation,Opus College of Business,Bachelor's Degree,Minnesota,2024,BUSINESS & MANAGEMENT,Operations & Analytics,Manufacturing & Industrial,Operations & Supply Chain
Gen Business Mgmt,Account Representative,Aon,College of Arts & Sciences,Bachelor's Degree,Minnesota,2024,BUSINESS & MANAGEMENT,General Business,Financial Services & Insurance,Finance & Accounting
Actuarial Science,Ecommerce Manager,Apex Auto Salvage,Opus College of Business,Bachelor's Degree,Minnesota,2024,BUSINESS & MANAGEMENT,Finance & Accounting,Retail & Consumer Products,Marketing & Communications
Biology of Global Health,Microbiologist,Apex International,Opus College of Business,Bachelor's Degree,Minnesota,2024,NATURAL & HEALTH SCIENCES,Biological Sciences,Manufacturing & Industrial,Research & Science
Marketing Management,Technical Recruiter,Apex Systems,College of Arts & Sciences,Bachelor's Degree,Virginia,2024,BUSINESS & MANAGEMENT,Marketing & Communication,Professional Services & Consulting,Human Resources
Financial Management,Accounting Associate,APi Group,Opus College of Business,Bachelor's Degree,Minnesota,2024,BUSINESS & MANAGEMENT,Finance & Accounting,"Construction, Engineering & Real Estate",Finance & Accounting
Neuroscience,Small Animal Technician,APS,School of Engineering,Bachelor's Degree,Minnesota,2024,NATURAL & HEALTH SCIENCES,Biological Sciences,Professional Services & Consulting,Engineering
Marketing Management,Campaign Manager,Arcanum Consulting Inc.,School of Engineering,Bachelor's Degree,Minnesota,2024,BUSINESS & MANAGEMENT,Marketing & Communication,Professional Services & Consulting,Marketing & Communications
Environmental Studies,Youth Minister,Archdiocese St. Paul-Minneapolis,Opus College of Business,Bachelor's Degree,Minnesota,2024,NATURAL & HEALTH SCIENCES,Environmental Sciences,Government & Public Service,Nonprofit & Social Services
Mechanical Engineering,Manufacturing Engineer,Arctic Cat,Opus College of Business,Bachelor's Degree,Minnesota,2024,ENGINEERING & TECHNOLOGY,Engineering Disciplines,Manufacturing & Industrial,Engineering
Marketing Management,SDR,Arctic Wolf,School of Engineering,Bachelor's Degree,Minnesota,2024,BUSINESS & MANAGEMENT,Marketing & Communication,Technology & Software,Sales & Business Development
Economics - Business,Machine Learning Consultant,Ashling Partners,College of Arts & Sciences,Bachelor's Degree,Wisconsin,2024,BUSINESS & MANAGEMENT,Economics,Professional Services & Consulting,Data & Analytics
Marketing Management,Account Manager,Asmodee Group,College of Arts & Sciences,Bachelor's Degree,Do not live in the United States,2024,BUSINESS & MANAGEMENT,Marketing & Communication,Retail & Consumer Products,Sales & Business Development
Mechanical Engineering,Associate Controls Engineer,Aspect Automation,Opus College of Business,Bachelor's Degree,Minnesota,2024,ENGINEERING & TECHNOLOGY,Engineering Disciplines,Manufacturing & Industrial,Engineering
Gen Business Mgmt,Private Pilot,ATP Flight School,Opus College of Business,Bachelor's Degree,Florida,2024,BUSINESS & MANAGEMENT,General Business,Education & Academia,Education & Teaching
Gen Business Mgmt,Underwriter,Auto-Owners Insurance,College of Arts & Sciences,Bachelor's Degree,Minnesota,2024,BUSINESS & MANAGEMENT,General Business,Financial Services & Insurance,Finance & Accounting
Leadership & Management,Project Management Office Intern,BAE Systems,College of Arts & Sciences,Bachelor's Degree,Minnesota,2024,BUSINESS & MANAGEMENT,General Management,Manufacturing & Industrial,Operations & Supply Chain
Computer Science,Software Verification Engineer,Abbott Northwestern Hospital,College of Health,Bachelor's Degree,Illinois,2024,ENGINEERING & TECHNOLOGY,Computer Science & IT,Healthcare & Medical,Software & IT
Mechanical Engineering,Associate Application Engineer,Banner Engineering,College of Arts & Sciences,Bachelor's Degree,Minnesota,2024,ENGINEERING & TECHNOLOGY,Engineering Disciplines,Manufacturing & Industrial,Software & IT
Mechanical Engineering,Associate Mechanical Design Engineer,Banner Engineering,Opus College of Business,Bachelor's Degree,Minnesota,2024,ENGINEERING & TECHNOLOGY,Engineering Disciplines,Manufacturing & Industrial,Engineering
Exercise Science,Key Holder,Bath and Body Works,Opus College of Business,Bachelor's Degree,Minnesota,2024,NATURAL & HEALTH SCIENCES,Health & Wellness,Retail & Consumer Products,Sales & Business Development
Marketing Management,Trader,Bayside Metal Exchange,Opus College of Business,Bachelor's Degree,California,2024,BUSINESS & MANAGEMENT,Marketing & Communication,Manufacturing & Industrial,Operations & Supply Chain
Accounting,Tax Associate,"BDO USA, LLP",Opus College of Business,Bachelor's Degree,Minnesota,2024,BUSINESS & MANAGEMENT,Finance & Accounting,Financial Services & Insurance,Finance & Accounting
K-12 Music Education,Resident Assistant,Amerigo Education,Opus College of Business,Bachelor's Degree,Illinois,2024,EDUCATION & SOCIAL SERVICES,Teacher Education,Education & Academia,Education & Teaching
English - Professional Writing,Technical Writer,Be the Match,Opus College of Business,Bachelor's Degree,Minnesota,2024,"ARTS, LANGUAGES & THEOLOGY",English & Writing,Healthcare & Medical,Marketing & Communications
International Business,Staffing Consultant,Beacon Hill Staffing Group,College of Arts & Sciences,Bachelor's Degree,Massachusetts,2024,BUSINESS & MANAGEMENT,Specialized Business,Professional Services & Consulting,Human Resources
Psychology,Behavioral Health Office Manager,Behavioral Health Alliance,College of Arts & Sciences,Bachelor's Degree,Minnesota,2024,SOCIAL SCIENCES & HUMANITIES,Social Sciences,Healthcare & Medical,Healthcare & Clinical
Economics - Business,Fraud Analyst,Best Buy,College of Arts & Sciences,Bachelor's Degree,Minnesota,2024,BUSINESS & MANAGEMENT,Economics,Retail & Consumer Products,Sales & Business Development
Marketing Management,E-commerce analyst,Best Buy,Opus College of Business,Bachelor's Degree,Minnesota,2024,BUSINESS & MANAGEMENT,Marketing & Communication,Retail & Consumer Products,Marketing & Communications
Sociology,Office Manager,Better Outlook MN,School of Education,Bachelor's Degree,Minnesota,2024,SOCIAL SCIENCES & HUMANITIES,Social Sciences,Healthcare & Medical,Management & Leadership
Computer Science,QE Automation Engineer,Bind Benefits,Opus College of Business,Bachelor's Degree,Minnesota,2024,ENGINEERING & TECHNOLOGY,Computer Science & IT,Healthcare & Medical,Engineering
Biology,Inside Sales Specialist,Bio-Techne,College of Arts & Sciences,Bachelor's Degree,Minnesota,2024,NATURAL & HEALTH SCIENCES,Biological Sciences,Technology & Software,Sales & Business Development
Biochemistry,Research Associate,Bio-techne,College of Arts & Sciences,Bachelor's Degree,Wisconsin,2024,NATURAL & HEALTH SCIENCES,Biological Sciences,Technology & Software,Research & Science
Exercise Science,Server,Black coffee and waffle bar,College of Arts & Sciences,Bachelor's Degree,Minnesota,2024,NATURAL & HEALTH SCIENCES,Health & Wellness,Retail & Consumer Products,Sales & Business Development
Financial Management,Analyst,Bloomberg LP,College of Arts & Sciences,Bachelor's Degree,New York,2024,BUSINESS & MANAGEMENT,Finance & Accounting,Technology & Software,Software & IT
Financial Management,Service runner,"BMW of North America, LLC",College of Arts & Sciences,Bachelor's Degree,New Jersey,2024,BUSINESS & MANAGEMENT,Finance & Accounting,Manufacturing & Industrial,Operations & Supply Chain
Civil Engineering,Water Resources Design Engineer,Bolton & Menk,College of Arts & Sciences,Bachelor's Degree,Minnesota,2024,ENGINEERING & TECHNOLOGY,Engineering Disciplines,"Construction, Engineering & Real Estate",Engineering
Mechanical Engineering,Process Development Engineer,Boston Scientific,College of Arts & Sciences,Bachelor's Degree,Massachusetts,2024,ENGINEERING & TECHNOLOGY,Engineering Disciplines,Healthcare & Medical,Engineering
Biology,Laboratory Assistant,Boston Scientific,College of Arts & Sciences,Bachelor's Degree,Massachusetts,2024,NATURAL & HEALTH SCIENCES,Biological Sciences,Healthcare & Medical,Research & Science
Accounting,Audit Associate,Boulay,School of Engineering,Bachelor's Degree,Minnesota,2024,BUSINESS & MANAGEMENT,Finance & Accounting,Financial Services & Insurance,Finance & Accounting
Financial Management,Wealth Management Associate,Boulay,College of Arts & Sciences,Bachelor's Degree,Minnesota,2024,BUSINESS & MANAGEMENT,Finance & Accounting,Financial Services & Insurance,Finance & Accounting
Financial Management,Planning assistant,Box financial,College of Arts & Sciences,Bachelor's Degree,Minnesota,2024,BUSINESS & MANAGEMENT,Finance & Accounting,Financial Services & Insurance,Finance & Accounting
Sociology,Teen Specialist,Boys and Girls Club of the Twin Cities,Opus College of Business,Bachelor's Degree,Minnesota,2024,SOCIAL SCIENCES & HUMANITIES,Social Sciences,Government & Public Service,Government & Public Service
Gen Business Mgmt,Server,Brackett's Crossing Country Club,Opus College of Business,Bachelor's Degree,Minnesota,2024,BUSINESS & MANAGEMENT,General Business,Retail & Consumer Products,Sales & Business Development
COJO Persuasion/Soc Influence,Digital Marketing Specialist,Brandpoint,College of Arts & Sciences,Bachelor's Degree,Minnesota,2024,COMMUNICATION & MEDIA,Communication Studies,Professional Services & Consulting,Marketing & Communications
Geology,Staff Scientist,Braun Intertec Corporation,College of Arts & Sciences,Bachelor's Degree,Minnesota,2024,NATURAL & HEALTH SCIENCES,Physical Sciences,"Construction, Engineering & Real Estate",Research & Science
Economics,Marketing Grand Vacation Specialist,Breckenridge Grand Vacations,College of Health,Bachelor's Degree,Colorado,2024,BUSINESS & MANAGEMENT,Economics,Retail & Consumer Products,Marketing & Communications
Financial Management,Credit Analyst,Bridgewater Bank,School of Engineering,Bachelor's Degree,Minnesota,2024,BUSINESS & MANAGEMENT,Finance & Accounting,Financial Services & Insurance,Finance & Accounting
Actuarial Science,Actuarial Analyst,Bright Health,School of Engineering,Bachelor's Degree,Minnesota,2024,BUSINESS & MANAGEMENT,Finance & Accounting,Healthcare & Medical,Finance & Accounting
Gen Business Mgmt,Sales Representative,BriteBelt Int.,College of Arts & Sciences,Bachelor's Degree,Minnesota,2024,BUSINESS & MANAGEMENT,General Business,Manufacturing & Industrial,Sales & Business Development
Mechanical Engineering,Project Engineer,Bühler Group,College of Arts & Sciences,Bachelor's Degree,Minnesota,2024,ENGINEERING & TECHNOLOGY,Engineering Disciplines,Manufacturing & Industrial,Engineering
Economics - Mathematical,Transfer Pricing Associate,"BDO USA, LLP",School of Engineering,Bachelor's Degree,Illinois,2024,SOCIAL SCIENCES & HUMANITIES,Economics,Financial Services & Insurance,Finance & Accounting
Marketing Management,Account Executive,C.H Robinson,College of Arts & Sciences,Bachelor's Degree,Minnesota,2024,BUSINESS & MANAGEMENT,Marketing & Communication,Professional Services & Consulting,Sales & Business Development
Entrepreneurship,Business Development Representative,C.H. Robinson,College of Arts & Sciences,Bachelor's Degree,Minnesota,2024,BUSINESS & MANAGEMENT,General Business,Professional Services & Consulting,Sales & Business Development
Operations Management,Carrier Sales Representative,C.H. Robinson,Opus College of Business,Bachelor's Degree,Minnesota,2024,BUSINESS & MANAGEMENT,Operations & Analytics,Professional Services & Consulting,Sales & Business Development
Financial Management,Financial Analyst,Cambria,College of Arts & Sciences,Bachelor's Degree,Minnesota,2024,BUSINESS & MANAGEMENT,Finance & Accounting,Manufacturing & Industrial,Finance & Accounting
Economics - Business,Business Transformation Analyst,Cambria,College of Health,Bachelor's Degree,Minnesota,2024,BUSINESS & MANAGEMENT,Economics,Manufacturing & Industrial,Operations & Supply Chain
Mechanical Engineering,Mechanical Engineer,Cantel Medical,Opus College of Business,Bachelor's Degree,New Jersey,2024,ENGINEERING & TECHNOLOGY,Engineering Disciplines,Healthcare & Medical,Engineering
Environmental Sci (Biology),Stormwater BMP Technician,Capitol Region Watershed District,College of Arts & Sciences,Bachelor's Degree,Minnesota,2024,NATURAL & HEALTH SCIENCES,Biological Sciences,Government & Public Service,Engineering
English - Creative Writing,Caption Editor,Captionmax,Opus College of Business,Bachelor's Degree,Minnesota,2024,COMMUNICATION & MEDIA,Creative Writing,Retail & Consumer Products,Marketing & Communications
Computer Science,IT and Information Security Consultant,Cardigan Donuts,College of Arts & Sciences,Bachelor's Degree,Minnesota,2024,ENGINEERING & TECHNOLOGY,Computer Science & IT,Retail & Consumer Products,Consulting & Advisory
Biology,Personal Care Assistant,"CARE PLANNERS HOME HEALTH CARE, LLC",College of Arts & Sciences,Bachelor's Degree,Minnesota,2024,NATURAL & HEALTH SCIENCES,Biological Sciences,Healthcare & Medical,Healthcare & Clinical
Marketing Management,Barista,Caribou Coffee,College of Arts & Sciences,Bachelor's Degree,Minnesota,2024,BUSINESS & MANAGEMENT,Marketing & Communication,Retail & Consumer Products,Sales & Business Development
Psychology,Store Leader,Caribou Coffee,College of Arts & Sciences,Bachelor's Degree,Minnesota,2024,SOCIAL SCIENCES & HUMANITIES,Social Sciences,Retail & Consumer Products,Sales & Business Development
Spanish Linguistics/Lang. St.,Billing Assistant,"Caring Professionals Homecare, LLC",College of Arts & Sciences,Bachelor's Degree,Minnesota,2024,"ARTS, LANGUAGES & THEOLOGY",Languages,Healthcare & Medical,Healthcare & Clinical
Elementary Education (K-6),3rd Grade Teacher,Carondelet Catholic School,Opus College of Business,Bachelor's Degree,Minnesota,2024,EDUCATION & SOCIAL SERVICES,Teacher Education,Education & Academia,Education & Teaching
Accounting,Associate Accountant,CBRE,College of Arts & Sciences,Bachelor's Degree,Minnesota,2024,BUSINESS & MANAGEMENT,Finance & Accounting,"Construction, Engineering & Real Estate",Finance & Accounting
Human Resources Management,Workplace Experience Coordinator,CBRE,College of Arts & Sciences,Bachelor's Degree,Texas,2024,BUSINESS & MANAGEMENT,Specialized Business,"Construction, Engineering & Real Estate",Engineering
COJO Strategic Communications,Client Services Coordinator,CBRE,College of Arts & Sciences,Bachelor's Degree,Texas,2024,COMMUNICATION & MEDIA,Communication Studies,"Construction, Engineering & Real Estate",Engineering
Biology,"Building Maintenance, Surveyor",CBS Squared Inc.,College of Arts & Sciences,Bachelor's Degree,Minnesota,2024,NATURAL & HEALTH SCIENCES,Biological Sciences,"Construction, Engineering & Real Estate",Construction & Trades
Catholic Studies,Framer,CCC,Opus College of Business,Bachelor's Degree,Minnesota,2024,"ARTS, LANGUAGES & THEOLOGY",Arts & Theology,Technology & Software,Software & IT
Computer Engineering,Associate Consulting Engineer,CDW,College of Arts & Sciences,Bachelor's Degree,Minnesota,2024,ENGINEERING & TECHNOLOGY,Engineering Disciplines,Technology & Software,Engineering
Civil Engineering,Environmental Specialist,Cemstone,Opus College of Business,Bachelor's Degree,Minnesota,2024,ENGINEERING & TECHNOLOGY,Engineering Disciplines,Manufacturing & Industrial,Operations & Supply Chain
Marketing Management,Marketing Contractor,Central McGowan,College of Arts & Sciences,Bachelor's Degree,Minnesota,2024,BUSINESS & MANAGEMENT,Marketing & Communication,Manufacturing & Industrial,Marketing & Communications
Economics - Business,Business analysis intern,Ceramic industrial coatings,College of Arts & Sciences,Bachelor's Degree,Minnesota,2024,BUSINESS & MANAGEMENT,Economics,Manufacturing & Industrial,Operations & Supply Chain
Human Resources Management,Operations Specialist,CH Robinson,College of Arts & Sciences,Bachelor's Degree,Minnesota,2024,BUSINESS & MANAGEMENT,Specialized Business,Professional Services & Consulting,Operations & Supply Chain
Psychology,Trivia Jockey,Challenge Entertainment,College of Arts & Sciences,Bachelor's Degree,Minnesota,2024,SOCIAL SCIENCES & HUMANITIES,Social Sciences,Retail & Consumer Products,Sales & Business Development
Financial Management,Investment Banking Analyst,Chartwell Financial Advisory,Opus College of Business,Bachelor's Degree,Minnesota,2024,BUSINESS & MANAGEMENT,Finance & Accounting,Financial Services & Insurance,Finance & Accounting
Financial Management,Analyst,"Chartwell Financial Advisory, Inc.",Opus College of Business,Bachelor's Degree,Minnesota,2024,BUSINESS & MANAGEMENT,Finance & Accounting,Financial Services & Insurance,Finance & Accounting
Financial Management,Investment Banking Analyst,Cherry Tree & Associates,Opus College of Business,Bachelor's Degree,Minnesota,2024,BUSINESS & MANAGEMENT,Finance & Accounting,Financial Services & Insurance,Finance & Accounting
Gen Business Mgmt,Team Lead,Chick-fil-A-Franchise,Opus College of Business,Bachelor's Degree,Georgia,2024,BUSINESS & MANAGEMENT,General Business,Retail & Consumer Products,Management & Leadership
Political Science,Public Health Assistant,Children’s Dental Services,Opus College of Business,Bachelor's Degree,Minnesota,2024,SOCIAL SCIENCES & HUMANITIES,Social Sciences,Healthcare & Medical,Healthcare & Clinical
Sociology,Assistant Teacher,Children's Discovery Academy,School of Engineering,Bachelor's Degree,Minnesota,2024,SOCIAL SCIENCES & HUMANITIES,Social Sciences,Education & Academia,Education & Teaching
Actuarial Science,Associate Underwriter,Burns & Wilcox,Opus College of Business,Bachelor's Degree,Illinois,2024,BUSINESS & MANAGEMENT,Finance & Accounting,Financial Services & Insurance,Finance & Accounting
Marketing Management,Underwriter Account Representative,Chubb Insurance,College of Arts & Sciences,Bachelor's Degree,Minnesota,2024,BUSINESS & MANAGEMENT,Marketing & Communication,Financial Services & Insurance,Finance & Accounting
Marketing Management,Service Sales Representative,Cintas,College of Arts & Sciences,Bachelor's Degree,Ohio,2024,BUSINESS & MANAGEMENT,Marketing & Communication,Professional Services & Consulting,Sales & Business Development
Electrical Engineering,Ice Resurfacer,"City of Apple Valley, MN",Opus College of Business,Bachelor's Degree,Minnesota,2024,ENGINEERING & TECHNOLOGY,Engineering Disciplines,Government & Public Service,Government & Public Service
Political Science,Administration Intern,City of Cottage Grove,College of Arts & Sciences,Bachelor's Degree,Minnesota,2024,SOCIAL SCIENCES & HUMANITIES,Social Sciences,Government & Public Service,Administrative & Support
Neuroscience,Analyst - Health Department,City of Minneapolis,Opus College of Business,Bachelor's Degree,Minnesota,2024,NATURAL & HEALTH SCIENCES,Biological Sciences,Government & Public Service,Government & Public Service
